Year,State,Evs,Infrastructure,Electricity_Price,Gas_Price,Median_Income,Political_Control,Car_Price_Difference,Lithium_Price,EV_Range,Combined_EV_Tax_Credit,Motor_Fuel_Tax,HOV_Access
2014,VT,2.879,1.9513,17.41,2.708,73430,0.7444,2958,356,84,11500,19.2,0
2015,VT,3.7267,4.3985,17.44,1.7472,72020,0.7478,1539,325,90,11500,19.2,0
2016,VT,5.0027,6.2374,17.78,1.4454,73000,0.7511,6108,298,218,11500,30.73,0
2017,VT,10.6031,6.9673,17.95,1.6466,75090,0.6033,3021,261,194,11500,30.73,0
2018,VT,16.2887,8.5688,18.42,1.9397,80990,0.4556,1504,229,213,11500,30.46,0
2019,VT,26.9075,10.6412,20.16,1.7959,84630,0.4467,18661,211,239,11500,30.46,0
2020,VT,35.9911,12.3963,20.13,1.2455,75810,0.4378,3897,190,259,11500,30.46,0
2021,VT,54.598,13.4602,20.55,2.088,82040,0.4678,11281,169,234,11500,30.46,0
2022,VT,78.3174,13.8462,21.14,2.6783,72190,0.4978,17197,153,257,11500,30.46,0
2014,VA,1.7146,0.7135,11.67,2.6162,80020,0.61,2958,356,84,10000,11.1,0
2015,VA,2.3751,0.9077,11.52,1.6607,74430,0.6075,1539,325,90,10000,16.2,0
2016,VA,3.4054,1.1831,11.25,1.4209,79730,0.605,6108,298,218,10000,16.2,0
2017,VA,5.0085,1.3032,12.02,1.6448,83500,0.63,3021,261,194,10000,16.2,0
2018,VA,10.282,1.7068,11.9,1.9094,89180,0.655,1504,229,213,10000,16.2,0
2019,VA,16.8918,2.4088,12.39,1.7676,92610,0.6733,18661,211,239,10000,16.2,0
2020,VA,22.4506,2.8991,12.5,1.2459,92670,0.6917,3897,190,259,10000,16.2,0
2021,VA,34.9368,3.8129,12.58,2.0963,86550,0.68,11281,169,234,10000,26.2,0
2022,VA,55.1244,4.2067,14.61,2.6967,85170,0.6683,17197,153,257,10000,28,0
2014,WA,12.491,2.1518,8.83,2.6588,71450,0.6701,2958,356,84,7500,37.5,0
2015,WA,16.5921,2.2,9.41,1.7876,81400,0.6718,1539,325,90,7500,44.5,0
2016,WA,20.7738,2.4552,9.58,1.4903,84360,0.6735,6108,298,218,7500,49.4,0
2017,WA,26.6308,2.8774,9.84,1.8038,84360,0.699,3021,261,194,7500,49.4,0
2018,WA,38.2888,3.4198,9.68,2.1499,92150,0.7245,1504,229,213,7500,49.4,0
2019,WA,51.2995,4.2102,9.67,2.0153,93910,0.7245,18661,211,239,7500,49.4,0
2020,WA,63.8107,4.9414,10.02,1.4629,91710,0.7245,3897,190,259,7500,49.4,0
2021,WA,85.8162,5.5868,10.38,2.3238,94510,0.7262,11281,169,234,7500,49.4,0
2022,WA,119.6445,5.8231,10.59,2.8523,89430,0.7279,17197,153,257,7500,49.4,0
